unit_id,source_file,speaker,start_line,end_line,text,descriptive_codes,interpretive_codes,modality,constructs
U0740-3,Master Interviews Transcripts.txt,Oleg,1795,1795,"But for me, I want clarity and steps.",general career context,interpretive context,general,general
U0741-1,Master Interviews Transcripts.txt,Anna,1798,1798,"Okay. Let us shift to AI now. You said you use AI a lot for work, but not for self reflection.",ai tool usage,interpretive context,ai,general
U0742-1,Master Interviews Transcripts.txt,Anna,1804,1804,"What AI tools do you use at work, and what for?",ai tool usage,interpretive context,ai,general
U0743-1,Master Interviews Transcripts.txt,Oleg,1807,1807,"I use ChatGPT sometimes, and also internal company tools. We have an internal AI assistant in the Microsoft environment. It can summarize meetings, draft emails, help with Excel formulas.",ai tool usage,interpretive context,ai,general
U0743-2,Master Interviews Transcripts.txt,Oleg,1807,1807,"I use it mainly for productivity. Also for code. Like, I write SQL queries, and I ask it to optimize, or to generate a quick Python snippet for a data transformation.",ai tool usage,interpretive context,ai,general
U0743-3,Master Interviews Transcripts.txt,Oleg,1807,1807,"And sometimes I use it to write narrative for dashboards, like executive summary.",general career context,interpretive context,general,general
U0744-1,Master Interviews Transcripts.txt,Anna,1810,1810,Can you give a concrete example of a moment where AI helped you a lot at work?,perceived effectiveness; ai tool usage; actionability/structure,effectiveness equals actionability,ai,effectiveness; actionability
U0745-1,Master Interviews Transcripts.txt,Oleg,1813,1813,"Yes. There was a project about punctuality KPIs. We had to calculate delays, but the data source had weird logic.",general career context,interpretive context,general,general
U0745-2,Master Interviews Transcripts.txt,Oleg,1813,1813,"Some trains are cancelled, some are partial, some are replaced by buses. The stakeholder wanted a simple KPI for monthly report. I had to join multiple tables, handle edge cases.",ai tool usage,interpretive context,ai,general
U0745-3,Master Interviews Transcripts.txt,Oleg,1813,1813,"I wrote SQL, but it was messy. I asked AI to help me structure the query. I described the tables and logic without sensitive identifiers, just generic names.",privacy concern; ai tool usage; actionability/structure,template advice undermines trust; privacy caution limits disclosure,ai,privacy
U0745-4,Master Interviews Transcripts.txt,Oleg,1813,1813,"It suggested using CTEs, separate steps, and it reminded me about handling nulls and duplicates. It saved me maybe, I do not know, two hours. And it also explained why.",ai tool usage,interpretive context,ai,general
U0745-5,Master Interviews Transcripts.txt,Oleg,1813,1813,That was very helpful.,general career context,interpretive context,general,general
U0746-1,Master Interviews Transcripts.txt,Anna,1816,1816,And what made you comfortable using it in that case?,emotional support,emotional support is limited,general,emotional support
U0747-1,Master Interviews Transcripts.txt,Oleg,1819,1819,"Speed and I could verify. I run the query, check results, compare with baseline. So trust is not blind.",trust/safety experience,interpretive context,general,trust
U0747-2,Master Interviews Transcripts.txt,Oleg,1819,1819,"It is like, assistant.",general career context,interpretive context,general,general
U0748-1,Master Interviews Transcripts.txt,Anna,1822,1822,Have you had a moment where AI failed or felt risky?,ai tool usage,interpretive context,ai,general
U0749-1,Master Interviews Transcripts.txt,Oleg,1825,1825,Oh yes. Many. One time it hallucinated.,general career context,interpretive context,general,general
U0749-2,Master Interviews Transcripts.txt,Oleg,1825,1825,"I asked for a Python snippet to do time series decomposition. It gave me code with a library that was not installed, and also wrong function name. I copied, it failed.",ai tool usage,interpretive context,ai,general
U0749-3,Master Interviews Transcripts.txt,Oleg,1825,1825,"Not dangerous, but annoying. Another time, more risky, I asked something about our internal policy, like, can we use certain customer data for analysis. It gave a confident answer, but it was wrong.",ai tool usage,interpretive context,ai,general
U0749-4,Master Interviews Transcripts.txt,Oleg,1825,1825,"And that can be serious. Because compliance, GDPR, Germany is strict. So I learned: do not trust AI for policies.",language barrier; trust/safety experience; ai tool usage,human adds nuance and context,ai,trust; context
U0749-5,Master Interviews Transcripts.txt,Oleg,1825,1825,You need official documents.,general career context,interpretive context,general,general
U0750-1,Master Interviews Transcripts.txt,Anna,1828,1828,So you calibrate trust depending on the domain.,trust/safety experience; ai tool usage,interpretive context,ai,trust
U0751-1,Master Interviews Transcripts.txt,Oleg,1831,1831,"Exactly. For code, okay. For compliance, no.",general career context,interpretive context,general,general
U0751-2,Master Interviews Transcripts.txt,Oleg,1831,1831,Also privacy boundaries. I never paste sensitive data. I never paste customer information.,privacy concern,privacy caution limits disclosure,general,privacy
U0751-3,Master Interviews Transcripts.txt,Oleg,1831,1831,"We have rules. Sometimes people do it, but I do not. It feels risky.",general career context,interpretive context,general,general
U0751-4,Master Interviews Transcripts.txt,Oleg,1831,1831,Also company has guidelines: do not upload confidential data to external AI.,privacy concern; ai tool usage,interpretive context,ai,privacy
U0752-1,Master Interviews Transcripts.txt,Anna,1834,1834,"What are your trust drivers for AI tools, compared to humans?",trust/safety experience; human coaching experience; ai tool usage,interpretive context,hybrid,trust
U0753-1,Master Interviews Transcripts.txt,Oleg,1837,1837,"For AI, trust is more like i can verify and stuff. Transparency helps, like if it shows sources, or explains steps and i can see if it makes things up or not i just need to be careful.",trust/safety experience; ai tool usage,interpretive context,ai,trust
U0754-1,Master Interviews Transcripts.txt,Anna,1840,1840,And with human coaches? Is it the same?,human coaching experience,interpretive context,human,general
U0755-1,Master Interviews Transcripts.txt,Oleg,1843,1843,"Yes, but with AI it is even more important. Because it can sound very confident but be wrong.",ai tool usage,interpretive context,ai,general
U0756-1,Master Interviews Transcripts.txt,Anna,1846,1846,"Do you ever use AI for career related tasks, like CV writing, job search, or decision support?",cv wording; ai tool usage; emotional support,interpretive context,ai,general
U0757-1,Master Interviews Transcripts.txt,Oleg,1849,1849,"I used it a little for CV wording. Like, I wrote bullet points and asked it to make them more concise. But I did not use it for big decisions.",cv wording,ai useful for production tasks,general,general
U0757-2,Master Interviews Transcripts.txt,Oleg,1849,1849,"For job search, not really.",general career context,interpretive context,general,general
U0758-1,Master Interviews Transcripts.txt,Anna,1852,1852,Why not?,general career context,interpretive context,general,general
U0759-1,Master Interviews Transcripts.txt,Oleg,1855,1855,"I don’t really know how i mean it feels artificial for self reflection. Like, I do not want to talk about my doubts with a chatbot. Also privacy.",privacy concern,privacy caution limits disclosure,general,privacy
U0759-2,Master Interviews Transcripts.txt,Oleg,1855,1855,"Even if they say it is safe, I do not know. And also, I prefer human feedback. When I process thoughts, I need a real person reacting, maybe challenging me.",trust/safety experience; human coaching experience,trust depends on presence and empathy,human,trust
U0759-3,Master Interviews Transcripts.txt,Oleg,1855,1855,"AI can simulate, but it does not feel the same.",ai tool usage,interpretive context,ai,general
U0760-1,Master Interviews Transcripts.txt,Anna,1858,1858,"What is missing exactly, for you?",general career context,interpretive context,general,general
U0761-1,Master Interviews Transcripts.txt,Oleg,1861,1861,"Emotional safety. Like, with a person, you have relationship, you see they care, they remember you. With AI, it is like talking to a wall that answers nicely.",trust/safety experience; ai tool usage; emotional support,trust depends on presence and empathy; emotional support is limited,ai,trust; emotional support
U0761-2,Master Interviews Transcripts.txt,Oleg,1861,1861,"Also accountability. If a mentor says, do this, and next time asks, did you do it, that pushes. AI can remind, but it is not the same social pressure.",human coaching experience; ai tool usage,interpretive context,hybrid,general
U0761-3,Master Interviews Transcripts.txt,Oleg,1861,1861,"And also, I worry it will give generic answers. Like career is messy. AI does not know the internal politics, my manager, my environment.",ai tool usage,template advice undermines trust,ai,general
U0762-1,Master Interviews Transcripts.txt,Anna,1864,1864,"Do you think it is mainly about empathy, or about context knowledge?",ai tool usage; context sensitivity,trust depends on presence and empathy; human adds nuance and context,ai,context
U0763-1,Master Interviews Transcripts.txt,Oleg,1867,1867,"Both. Context and empathy. For work tasks, AI is great because the context is the prompt.",ai tool usage; hybrid preference; context sensitivity,trust depends on presence and empathy; human adds nuance and context,hybrid,context
U0763-2,Master Interviews Transcripts.txt,Oleg,1867,1867,"For life, the context is huge.",context sensitivity,human adds nuance and context,general,context
U0764-1,Master Interviews Transcripts.txt,Anna,1870,1870,Okay. Now I want to ask you to compare human and AI in specific career support tasks.,human coaching experience; ai tool usage; emotional support,interpretive context,hybrid,general
U0765-1,Master Interviews Transcripts.txt,Anna,1876,1876,"If you think about different career tasks, like clarifying options, making decisions, planning strategy, preparing for interviews, or writing a CV, where would you prefer a human, where would you prefer AI, and why?",cv wording; human coaching experience; ai tool usage,effectiveness equals actionability,hybrid,actionability
U0766-1,Master Interviews Transcripts.txt,Oleg,1879,1879,"For CV formatting and wording, AI can help a lot. It is fast. Like, rewrite bullet points, adjust tone.",cv wording; ai tool usage,ai useful for production tasks,ai,general
U0766-2,Master Interviews Transcripts.txt,Oleg,1879,1879,"But I still check, because sometimes it makes claims too strong, like 200 percent improvement, nonsense. So effective, but not fully trusted. I treat it as draft generator.",trust/safety experience; perceived effectiveness; ai tool usage,interpretive context,ai,trust; effectiveness
U0767-1,Master Interviews Transcripts.txt,Anna,1882,1882,And for interview preparation?,general career context,interpretive context,general,general
U0768-1,Master Interviews Transcripts.txt,Oleg,1885,1885,Mixed.,general career context,interpretive context,general,general
U0769-1,Master Interviews Transcripts.txt,Anna,1888,1888,"And for clarifying options, like whether to pursue leadership or switch track?",general career context,interpretive context,general,general
U0770-1,Master Interviews Transcripts.txt,Oleg,1891,1891,Human. Definitely.,human coaching experience,interpretive context,human,general
U0771-1,Master Interviews Transcripts.txt,Anna,1894,1894,What about planning concrete steps towards leadership in your company?,actionability/structure,effectiveness equals actionability,general,actionability
U0772-1,Master Interviews Transcripts.txt,Oleg,1897,1897,"Human plus some AI support. Like, human mentor can tell me: talk to these stakeholders, join this project, volunteer to mentor juniors. AI can help me write an email to a senior manager, or prepare a 1 page plan.",human coaching experience; ai tool usage; emotional support,effectiveness equals actionability,hybrid,actionability
U0772-2,Master Interviews Transcripts.txt,Oleg,1897,1897,"But the strategy and other stuff, human.",human coaching experience,interpretive context,human,general
U0773-1,Master Interviews Transcripts.txt,Anna,1900,1900,"Can you think of a recent concrete career task where you used AI, and what happened?",ai tool usage; actionability/structure,effectiveness equals actionability,ai,actionability
U0774-1,Master Interviews Transcripts.txt,Oleg,1903,1903,"Yes. Recently I prepared for a performance review. We have annual review, and you need to write self evaluation.",general career context,interpretive context,general,general
U0774-2,Master Interviews Transcripts.txt,Oleg,1903,1903,"I used AI to structure it. I wrote my achievements, and asked it to make it more clear, and align to competencies. It gave me a nice structure.",ai tool usage; actionability/structure,interpretive context,ai,general
U0774-3,Master Interviews Transcripts.txt,Oleg,1903,1903,That was helpful. But I did not put sensitive numbers. I wrote general.,privacy concern,privacy caution limits disclosure,general,privacy
U0774-4,Master Interviews Transcripts.txt,Oleg,1903,1903,"And still, I did not fully trust it, because it can exaggerate. I edited.",trust/safety experience; ethical boundary concern,ethics and honesty shape trust,general,trust; ethics
U0775-1,Master Interviews Transcripts.txt,Anna,1906,1906,"So in that case, it was effective as a structuring tool.",perceived effectiveness,interpretive context,general,effectiveness
U0776-1,Master Interviews Transcripts.txt,Oleg,1909,1909,"Yes, very effective for structure and wording.",cv wording; perceived effectiveness; actionability/structure,ai useful for production tasks,general,effectiveness
U0777-1,Master Interviews Transcripts.txt,Anna,1912,1912,"And a human, did you involve anyone in that review preparation?",human coaching experience,interpretive context,human,general
U0778-1,Master Interviews Transcripts.txt,Oleg,1915,1915,"I talked to my mentor a bit. He said, focus on impact and visibility. And he told me, ask your manager for a development plan.",perceived effectiveness; human coaching experience; ai tool usage,effectiveness equals actionability,hybrid,effectiveness; actionability
U0778-2,Master Interviews Transcripts.txt,Oleg,1915,1915,That was more strategic. So both contributed.,hybrid preference,interpretive context,hybrid,general
U0779-1,Master Interviews Transcripts.txt,Anna,1918,1918,"If you imagine a tool that is explicitly designed as a career coach chatbot, would that change anything?",human coaching experience,interpretive context,human,general
U0780-1,Master Interviews Transcripts.txt,Oleg,1921,1921,"Maybe a little. If it is designed well, with boundaries, and if it is maybe integrated with German job market data. But still, for deep questions, I would want human.",language barrier; human coaching experience,interpretive context,human,general
U0781-1,Master Interviews Transcripts.txt,Anna,1924,1924,What would make you consider using it for deeper questions?,general career context,interpretive context,general,general
U0782-1,Master Interviews Transcripts.txt,Oleg,1927,1927,"If I could be sure about privacy. If it is certified, maybe. And if it can show why it recommends something.",privacy concern,privacy caution limits disclosure,general,privacy
U0782-2,Master Interviews Transcripts.txt,Oleg,1927,1927,"Like evidence. And maybe if it is connected to a human coach, like hybrid. Then I can use AI for preparation and reflection, but human for decision.",human coaching experience; ai tool usage; hybrid preference,interpretive context,hybrid,general
U0783-1,Master Interviews Transcripts.txt,Anna,1930,1930,"That leads nicely to the trust and effectiveness link. But before that, I want to ask a short micro poll. These are 0 to 10 ratings.",trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0783-2,Master Interviews Transcripts.txt,Anna,1930,1930,"It is quick, and then I will ask why.",general career context,interpretive context,general,general
U0784-1,Master Interviews Transcripts.txt,Anna,1938,1938,"On a scale from 0 to 10, where 0 is no trust at all and 10 is complete trust, how would you rate your trust in human career coaches or mentors, in general?",trust/safety experience; human coaching experience,interpretive context,human,trust
U0785-1,Master Interviews Transcripts.txt,Oleg,1941,1941,"In general, hmm, maybe 7.",general career context,interpretive context,general,general
U0786-1,Master Interviews Transcripts.txt,Anna,1944,1944,"Why 7, and not higher or lower?",general career context,interpretive context,general,general
U0787-1,Master Interviews Transcripts.txt,Oleg,1947,1947,"Because I think humans can be very helpful, and I trust the right person. But not all coaches are competent. Some are generic.",trust/safety experience; human coaching experience,template advice undermines trust,human,trust
U0787-2,Master Interviews Transcripts.txt,Oleg,1947,1947,Also humans can have bias. So I do not give 10. But I trust more than AI for personal topics.,trust/safety experience; human coaching experience; ai tool usage,interpretive context,hybrid,trust
U0787-3,Master Interviews Transcripts.txt,Oleg,1947,1947,So 7.,general career context,interpretive context,general,general
U0788-1,Master Interviews Transcripts.txt,Anna,1950,1950,"Same scale, trust in AI tools for career support specifically.",trust/safety experience; ai tool usage; emotional support,interpretive context,ai,trust
U0789-1,Master Interviews Transcripts.txt,Oleg,1953,1953,"For career support, maybe 4.",emotional support,interpretive context,general,general
U0790-1,Master Interviews Transcripts.txt,Anna,1956,1956,What drives that 4?,general career context,interpretive context,general,general
U0791-1,Master Interviews Transcripts.txt,Oleg,1959,1959,"Because AI can be useful, but I do not trust it with high stakes decisions. Also privacy and AI can be wrong. For technical tasks, my trust would be higher, like 7 or 8.",privacy concern; trust/safety experience; ai tool usage,privacy caution limits disclosure,ai,trust; privacy
U0791-2,Master Interviews Transcripts.txt,Oleg,1959,1959,"But for career, 4.",general career context,interpretive context,general,general
U0792-1,Master Interviews Transcripts.txt,Anna,1962,1962,"Now perceived effectiveness. For your personal situation, how effective is human coaching or mentoring, 0 to 10?",perceived effectiveness; human coaching experience,interpretive context,human,effectiveness
U0793-1,Master Interviews Transcripts.txt,Oleg,1965,1965,I would say 8.,general career context,interpretive context,general,general
U0794-1,Master Interviews Transcripts.txt,Anna,1968,1968,Why 8?,general career context,interpretive context,general,general
U0795-1,Master Interviews Transcripts.txt,Oleg,1971,1971,"Because my mentor actually helped me get the job, and also helped with internal understanding. It led to concrete actions. It increased my confidence.",perceived effectiveness; human coaching experience; actionability/structure,effectiveness equals actionability,human,effectiveness; actionability
U0795-2,Master Interviews Transcripts.txt,Oleg,1971,1971,"So it is effective. Not 10 because sometimes even mentor cannot solve the system. Like, internal promotion is still uncertain.",perceived effectiveness; human coaching experience; ai tool usage,interpretive context,hybrid,effectiveness
U0795-3,Master Interviews Transcripts.txt,Oleg,1971,1971,And sometimes advice is limited.,general career context,interpretive context,general,general
U0796-1,Master Interviews Transcripts.txt,Anna,1974,1974,"And perceived effectiveness of AI tools for your personal situation, 0 to 10?",perceived effectiveness; ai tool usage,interpretive context,ai,effectiveness
U0797-1,Master Interviews Transcripts.txt,Oleg,1977,1977,"For my situation, maybe 5.",general career context,interpretive context,general,general
U0798-1,Master Interviews Transcripts.txt,Anna,1980,1980,Why 5?,general career context,interpretive context,general,general
U0799-1,Master Interviews Transcripts.txt,Oleg,1983,1983,"Because it can help with tasks like writing, structuring, generating options. That is effective. But it does not replace human for leadership decisions.",perceived effectiveness; human coaching experience,emotional support is limited,human,effectiveness
U0799-2,Master Interviews Transcripts.txt,Oleg,1983,1983,So it is medium.,general career context,interpretive context,general,general
U0800-1,Master Interviews Transcripts.txt,Anna,1986,1986,"Thank you. Now I want to explore the link between trust and effectiveness more directly. When you think about your experience, how does trust affect whether something feels effective?",trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0801-1,Master Interviews Transcripts.txt,Oleg,1989,1989,"Trust is like, um, the entry point. If I do not trust, I do not use it deeply. Like with AI, even if it gives good advice, I might not act.",trust/safety experience; ai tool usage,interpretive context,ai,trust
U0801-2,Master Interviews Transcripts.txt,Oleg,1989,1989,"Or I will double check so much that it loses value. With human, if I trust, I share more real information, like my fears, my doubts. Then the advice is better, more tailored.",trust/safety experience; human coaching experience; ai tool usage,interpretive context,hybrid,trust
U0801-3,Master Interviews Transcripts.txt,Oleg,1989,1989,"So trust enables depth, and depth enables effectiveness.",trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0802-1,Master Interviews Transcripts.txt,Anna,1992,1992,Can you give a specific example where trust increased effectiveness with your mentor?,trust/safety experience; perceived effectiveness; human coaching experience,interpretive context,human,trust; effectiveness
U0803-1,Master Interviews Transcripts.txt,Oleg,1995,1995,"Yes. When I was preparing salary negotiation, I told him my real number, and my fear that they will reject me because I am foreign, and I needed visa stability. If I did not trust him, I would hide that.",trust/safety experience; context sensitivity,interpretive context,general,trust; context
U0803-2,Master Interviews Transcripts.txt,Oleg,1995,1995,"But because I shared it, he gave specific advice: focus on value, but also understand my risk tolerance. He said, okay, aim for X, but if they offer Y, it is still okay because you need entry. That was tailored.",ai tool usage,interpretive context,ai,general
U0803-3,Master Interviews Transcripts.txt,Oleg,1995,1995,It was effective because it fit my real constraints.,perceived effectiveness; ai tool usage; matching/fit,matching drives trust,ai,effectiveness
U0804-1,Master Interviews Transcripts.txt,Anna,1998,1998,"And can you think of a case where you trusted but it was not effective, we touched one with the university counselor. Anything else?",trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0805-1,Master Interviews Transcripts.txt,Oleg,2001,2001,"Another example: I had a friendly senior colleague, like a buddy. He listened, he was supportive, I trusted him emotionally. But when I asked about leadership track, he said, just wait, it will happen.",trust/safety experience; ai tool usage; emotional support,trust depends on presence and empathy; emotional support is limited,hybrid,trust; emotional support
U0805-2,Master Interviews Transcripts.txt,Oleg,2001,2001,"And I was like, okay, but what should I do. He had no concrete steps. So trust, but low effectiveness.",trust/safety experience; perceived effectiveness; actionability/structure,effectiveness equals actionability,general,trust; effectiveness; actionability
U0806-1,Master Interviews Transcripts.txt,Anna,2004,2004,"And effective but not fully trusted, you mentioned AI for CV bullet points. Can you expand on that?",cv wording; trust/safety experience; perceived effectiveness,ai useful for production tasks,ai,trust; effectiveness
U0807-1,Master Interviews Transcripts.txt,Oleg,2007,2007,Yes. AI can produce good bullet points quickly. That is effective.,cv wording; perceived effectiveness; ai tool usage,ai useful for production tasks,ai,effectiveness
U0807-2,Master Interviews Transcripts.txt,Oleg,2007,2007,"But I do not trust it fully because it can invent achievements. So I always verify. I treat it like speed, not authority.",trust/safety experience; ethical boundary concern,ethics and honesty shape trust,general,trust; ethics
U0807-3,Master Interviews Transcripts.txt,Oleg,2007,2007,"So it is effective, but trust is partial.",trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0808-1,Master Interviews Transcripts.txt,Anna,2010,2010,So effectiveness can exist without full trust if you can verify and the stakes are low.,trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0809-1,Master Interviews Transcripts.txt,Oleg,2013,2013,Yes,general career context,interpretive context,general,general
U0810-1,Master Interviews Transcripts.txt,Anna,2016,2016,"Aha. If we break down trust drivers, for humans you mentioned competence, confidentiality, feeling seen, shared context, honesty about limits. For AI you mentioned reliability, verifiability, transparency, boundaries.",privacy concern; trust/safety experience; human coaching experience,human adds nuance and context,hybrid,trust; privacy; context
U0810-2,Master Interviews Transcripts.txt,Anna,2016,2016,Anything else?,general career context,interpretive context,general,general
U0811-1,Master Interviews Transcripts.txt,Oleg,2019,2019,"For AI, also consistency. Like, if it gives stable quality. And maybe integration.",ai tool usage,interpretive context,ai,general
U0811-2,Master Interviews Transcripts.txt,Oleg,2019,2019,"If it uses real data sources. For example, if it can cite German labor market, or internal job profiles.",language barrier,interpretive context,general,general
U0812-1,Master Interviews Transcripts.txt,Anna,2022,2022,"For humans, anything else?",human coaching experience,interpretive context,human,general
U0813-1,Master Interviews Transcripts.txt,Oleg,2025,2025,"For humans, also values alignment. Like, if a coach values stability and I value growth, there is mismatch. And also, the ability to challenge me without being rude.",human coaching experience; matching/fit,matching drives trust,human,general
U0813-2,Master Interviews Transcripts.txt,Oleg,2025,2025,"Like, constructive.",general career context,interpretive context,general,general
U0814-1,Master Interviews Transcripts.txt,Anna,2028,2028,"When you think about effectiveness indicators, what tells you that a career support interaction was effective?",perceived effectiveness; emotional support; actionability/structure,effectiveness equals actionability,general,effectiveness; actionability
U0815-1,Master Interviews Transcripts.txt,Oleg,2031,2031,"For me, effectiveness is when I get my head cleared. Like, I decide something. Not just thinking.",perceived effectiveness,interpretive context,general,effectiveness
U0815-2,Master Interviews Transcripts.txt,Oleg,2031,2031,"Also when I take action. Like, I schedule a meeting with my manager, I apply, I join a leadership training, I ask for a project. Also when I see outcomes: interview invitations, internal opportunities, better performance review, more confidence.",ai tool usage; actionability/structure,effectiveness equals actionability,ai,actionability
U0815-3,Master Interviews Transcripts.txt,Oleg,2031,2031,"Not only feeling good, but steps.",general career context,interpretive context,general,general
U0816-1,Master Interviews Transcripts.txt,Anna,2034,2034,Do you think trust always leads to effectiveness?,trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0817-1,Master Interviews Transcripts.txt,Oleg,2037,2037,"No. You can trust someone and still not get results, like we said. And you can get results without deep trust if it is technical.",trust/safety experience; ai tool usage,interpretive context,ai,trust
U0817-2,Master Interviews Transcripts.txt,Oleg,2037,2037,"So trust helps, but it is not enough. Competence is key.",trust/safety experience,interpretive context,general,trust
U0818-1,Master Interviews Transcripts.txt,Anna,2040,2040,Does effectiveness build trust?,trust/safety experience; perceived effectiveness,interpretive context,general,trust; effectiveness
U0819-1,Master Interviews Transcripts.txt,Oleg,2043,2043,"Yes, definitely. If AI helps me reliably with code, I trust it more in that area. And if a mentor gives good advice, trust increases.",trust/safety experience; human coaching experience; ai tool usage,interpretive context,hybrid,trust
U0819-2,Master Interviews Transcripts.txt,Oleg,2043,2043,"But if one time it fails badly, trust drops quickly, especially for AI. For humans, maybe you forgive more if relationship is strong. But it depends.",trust/safety experience; human coaching experience; ai tool usage,interpretive context,hybrid,trust
U0820-1,Master Interviews Transcripts.txt,Anna,2046,2046,That is interesting. Why do you forgive humans more?,human coaching experience,interpretive context,human,general
U0821-1,Master Interviews Transcripts.txt,Oleg,2049,2049,"Because you assume good intentions. And you see they are limited. With AI, it is just output.",ai tool usage,interpretive context,ai,general
U0821-2,Master Interviews Transcripts.txt,Oleg,2049,2049,"If it is wrong, you feel, okay, it is unreliable.",general career context,interpretive context,general,general
U0822-1,Master Interviews Transcripts.txt,Anna,2052,2052,Okay. Now I want to ask about your preferences and reaction to hybrid models.,hybrid preference; actionability/structure,effectiveness equals actionability,hybrid,actionability
U0823-1,Master Interviews Transcripts.txt,Anna,2058,2058,"Imagine a hybrid career coaching model where you have AI support for preparation, reflection prompts, structuring options, and follow up, and you also have access to human mentors or coaches for deeper conversations and key decisions. What is your first reaction?",human coaching experience; ai tool usage; hybrid preference,effectiveness equals actionability,hybrid,actionability
U0824-1,Master Interviews Transcripts.txt,Oleg,2061,2061,I mean sounds good i mean It sounds like the best combination. Because I do not want to spend human time on small tasks like rewriting text. That can be AI.,human coaching experience; ai tool usage,interpretive context,hybrid,general
U0824-2,Master Interviews Transcripts.txt,Oleg,2061,2061,"But for leadership path, I want human.",human coaching experience,interpretive context,human,general
U0825-1,Master Interviews Transcripts.txt,Anna,2064,2064,What would make you adopt such a hybrid model?,hybrid preference,interpretive context,hybrid,general
U0826-1,Master Interviews Transcripts.txt,Oleg,2067,2067,"Quality of the human part. Like, who are the mentors. Are they real professionals.",human coaching experience,interpretive context,human,general
U0826-2,Master Interviews Transcripts.txt,Oleg,2067,2067,"Also trust and privacy for the AI part .And prices matter. I am early career, I can’t pay a lot. .",privacy concern; trust/safety experience; ai tool usage,privacy caution limits disclosure,ai,trust; privacy
U0827-1,Master Interviews Transcripts.txt,Anna,2070,2070,"In such a model, where would you want AI to lead, and where would you want a human to lead?",human coaching experience; ai tool usage,interpretive context,hybrid,general
U0828-1,Master Interviews Transcripts.txt,Oleg,2073,2073,I don’t really care the main is the result.,ai tool usage,interpretive context,ai,general
U0829-1,Master Interviews Transcripts.txt,Anna,2076,2076,"Okay. If the AI part asks you reflective questions, like what do you value, what do you fear, would you use it?",ai tool usage,interpretive context,ai,general
U0830-1,Master Interviews Transcripts.txt,Oleg,2079,2079,"Maybe a bit, but I would be cautious. It depends on how it is framed. If it is like journaling prompts, okay.",general career context,interpretive context,general,general
U0830-2,Master Interviews Transcripts.txt,Oleg,2079,2079,"But if it tries to interpret me, like you are this type, then no. I do not want психологический анализ from AI. I want a person.",ai tool usage,interpretive context,ai,general
U0831-1,Master Interviews Transcripts.txt,Anna,2082,2082,"What about if the AI part was designed to be very transparent, like it always says, I am not a therapist, I am a tool, and it shows you how it builds suggestions.",ai tool usage,interpretive context,ai,general
U0832-1,Master Interviews Transcripts.txt,Oleg,2085,2085,Doesn’t matter how you frame it it is still same.,general career context,interpretive context,general,general
U0833-1,Master Interviews Transcripts.txt,Anna,2088,2088,How would you want the human coach to work with the AI output?,human coaching experience; ai tool usage,interpretive context,hybrid,general
U0834-1,Master Interviews Transcripts.txt,Oleg,2091,2091,"It could be useful if I can bring a summary to the human. Like, AI helps me prepare: here are my goals, constraints, options. Then the human can go deeper.",human coaching experience; ai tool usage,interpretive context,hybrid,general
U0834-2,Master Interviews Transcripts.txt,Oleg,2091,2091,That saves time.,general career context,interpretive context,general,general
U0835-1,Master Interviews Transcripts.txt,Anna,2094,2094,Would there be any red flags that would make you avoid a hybrid model?,hybrid preference,interpretive context,hybrid,general
U0836-1,Master Interviews Transcripts.txt,Oleg,2097,2097,If it feels like the AI is replacing the human. Or if they push me to use AI only. Also if they collect too much data.,human coaching experience; ai tool usage,interpretive context,hybrid,general
U0836-2,Master Interviews Transcripts.txt,Oleg,2097,2097,"Like, if they ask for my company name, salary, visa status, and store it. That would feel risky. Germany is sensitive about data I am now too hahaha.",language barrier; privacy concern; context sensitivity,human adds nuance and context; privacy caution limits disclosure,general,privacy; context
U0837-1,Master Interviews Transcripts.txt,Anna,2100,2100,And what if the model matches you to a mentor based on your profile and goals?,human coaching experience; matching/fit,matching drives trust,human,general
U0838-1,Master Interviews Transcripts.txt,Oleg,2103,2103,"That is good, but I would want to understand the logic. Like, why this person. If it is a black box, I trust less.",trust/safety experience,interpretive context,general,trust
U0838-2,Master Interviews Transcripts.txt,Oleg,2103,2103,"If it shows criteria, I trust more.",trust/safety experience,interpretive context,general,trust
U0839-1,Master Interviews Transcripts.txt,Anna,2106,2106,"Do you think you would trust a mentor from your own company more, or an external one?",trust/safety experience; human coaching experience,interpretive context,human,trust
U0840-1,Master Interviews Transcripts.txt,Oleg,2109,2109,"Mixed. From my company, they have context, very useful. But also risk, because internal politics.",context sensitivity,human adds nuance and context,general,context
U0841-1,Master Interviews Transcripts.txt,Anna,2112,2112,"If you had a human coach, what would you want them to help you with specifically, in the next three months?",human coaching experience,interpretive context,human,general
U0842-1,Master Interviews Transcripts.txt,Oleg,2115,2115,"I want a plan steps to leadership. Like, identify skills gap. Identify projects to take.",actionability/structure,effectiveness equals actionability,general,actionability
